cod_cliente,nome_operacao,razao_social,cnpj,empresa_grupo,regiao,descricao_regiao,beneficios_padrao,escala_padrao,endereco_padrao
55214,WURTH - PORTO ALEGRE,WURTH DO BRASIL PECAS DE FIXACAO LTDA,43.648.971/0026-03,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT, VR ou VA (R$ 38,00/dia), SV",SEG A QUI DAS 08:00 AS 18:00 SEX DAS 08:00 AS 17:00 COM 1H DE INTERVALO,"Av. João Elustondo Filho, 435 - Sarandi, Porto Alegre - RS, 91140-450"
55288,DANISCO -IFF,DANISCO BRASIL LTDA,46.278.016/0010-52,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VR 39,00 3X POR SEMANA +AM+VA",SEGUNDA A SEXTA DAS 8H AS 17H,
55324,DANISCO -IFF,DANISCO BRASIL LTDA,46.278.016/0007-57,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR (39,00) / AM – Seguros Unimed Enfermaria / PLR SOULAN","segunda à sexta 08:00 às 17:00 – 2x na semana presencial, 3 x home office","Avenida Sylvio Honório Álvares Penteado, 370, Bloco Torre 5 – Barueri, São Paulo, Brasil – CEP 06460-025"
55371,RAFUL - PAULISTA,TOP ARABE RESTAURANTE,11.928.186/0004-02,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,VT - 6%/ VA-10% DO SALÁRIO/ AM/ AO - REFEIÇÃO NO LOCAL,ESCALA 5X2 DAS 11:32 AS 21:20,"AVENIDA PAULISTA , 1021, BELA VISTA, SÃO PAULO/ SP - CEP: 01311-100"
55396,PROPARTS,PROPARTS COMERCIO DE ARTIGOS ESPORTIVOS E TECNOLOGIA LTDA,68.365.501/0004-58,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,26,SAO PAULO,"VT / VR - R$ 35,00 POR DIA / ASSISTÊNCIA MÉDICA E ODONTO / SEGURO DE VIDA / R$1.000,00 se bater a meta do quiosque.",SEG A SEX DAS 08:00 ÀS 17:48 (3 DIAS HOME 2 DIAS PRESENCIAL),"R. Eng. Mesquita Sampaio, 329 - Chácara Santo Antônio, São Paulo - SP, 04711-000"
55411,DANISCO-IFF,DANISCO BRASIL LTDA,46.278.016/0001-61,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT; REFEITORIO DO LOCAL, SV E AM",Segunda à sexta-feira início das 07:00 às 16:00.,"Av. Sylvio Honório Álvares Penteado, 370 - Tamboré, Barueri - SP, 06460-025"
55458,CONSULADO ESP.,CONSULADO GERAL DA ESPANHA EM SAO PAULO,05.468.734/0001-13,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - 24,80 POR DIA / VA - 174,10 POR MÊS / AM - COM DESCONTO DE 30%",De segunda à sexta-feira das 08h00 às 15h15 com 15 minutos de intervalo,"Rua Canadá, 424 - Jardim Europa"
55469,VR BENEFICIOS,VR BENEFICIOS E SERVICOS DE PROCESSAMENTO S.A,02.535.864/0001-33,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VR - R$ 58,91 POR DIA / AM",SEG A SEX DAS 09:00 às 18:00 COM 1H DE INTERVALO (HÍBRIDO),"Av dos Bandeirantes, 460"
55496,GRUPO MPR,CNA S.A.,60.881.299/0008-39,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"30% periculosidade + Fornecimento de refeição no local, Cesta básica, Vale transporte.",2ª a 5ª 18h as 03h17 /6ª 18h as 02h17,"Av. Da Lycra, 106 - Loteamento industrial Salto Grande II - Americana | 13474-781"
55534,SASCAR (MICHELIN),SASCAR - TECNOLOGIA E SEGURANCA AUTOMOTIVA S/A,03.112.879/0001-51,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT+VR DE 44,00+AM",SEG A QUI DAS 07:30 AS 17:30 SEX DAS 07:30 AS 16:30 COM 1H DE ALMOÇO,
55601,ULTRACARGO,ULTRACARGO VILA DO CONDE LOGISTICA PORTUARIA S.A,34.130.063/0001-84,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT / VA R$ 805,41 (desconto de 2,5% ao mês) / VR R$ 813,71 (desconto de 1,5% ao mês) / SV / AM",SEG A QUI DAS 07:00 AS 17:00 SEX DAS 07:00 AS 16:00 COM 1H DE INTERVALO,"BARCARENA,PA"
55612,SWIFT,SEARA ALIMENTOS LTDA,02.914.460/0382-04,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT + VA 500,00 + SV",5X2 - DAS 08:00 ÀS 18H00 COM 1H DE DESCANSO,
55619,BUNGE,BUNGE ALIMENTOS S/A,84.046.101/0574-62,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT OU ESTACIONAMENTO / VR 60 REAIS/DIA / VA 174,10 REAIS/MES / AM / SV / PLR / CONVENIO ODONTOLOGICO",De segunda a sexta dás 08:00 ás 17:48 – Sendo segunda e sexta home office,"Rodovia Jorge Lacerda, 4657 - KM 20 Bairro: Poço Grande CEP: 89115-285 Gaspar - SC"
55783,PUMA NOVO HAMBURGO,PUMA SPORTS LTDA.,05.406.034/0036-24,SOULAN CONSULTORIA E MAO DE OBRA TEMPORARIA LTDA,4,PAULISTA,"VT/ VR 960,00","ESCALA 6X1 - Das 13:20 as 21:20 - Domingos e feriados ganham mais R$121,00 conforme acordo sindical","RUA RINCÃO, 505 - CEP 93310-460 - NOVO HAMBURGO RS"
